Date,MSFT,META,GOOG,AMZN,NFLX,AAPL,TSLA,NVDA,JPM,V,MA,BABA,ADBE,CMCSA,ORCL,WFC,C,DIS,QCOM,IBM,KO,INTC,AMD,HON,TXN,LMT,GS,BKNG,VZ,T,UPS,FDX,ADP,SYK,KMX,CAT,CNI,WM,ECL,SPGI,MSCI,FIS,REGN,GILD,ZBH,VLO,PCAR,NEM,CI
2019-07-25,140.19000244140625,200.7100067138672,56.60599899291992,98.69100189208984,326.4599914550781,51.755001068115234,15.254667282104492,4.334499835968018,115.70999908447266,181.58999633789062,279.3500061035156,177.2899932861328,308.7300109863281,44.61000061035156,58.290000915527344,48.09000015258789,71.38999938964844,143.2100067138672,75.3499984741211,143.7762908935547,53.06999969482422,52.15999984741211,33.66999816894531,173.77000427246094,127.3499984741211,370.32000732421875,219.97999572753906,1926.1300048828125,56.36000061035156,25.5362548828125,118.25,175.8699951171875,167.05999755859375,212.66000366210938,89.33000183105469,134.7100067138672,94.36000061035156,116.72000122070312,198.3300018310547,242.35000610351562,231.88999938964844,132.47999572753906,303.4200134277344,66.31999969482422,120.30097198486328,83.44999694824219,47.779998779296875,38.25,166.5500030517578
2019-07-26,141.33999633789062,199.75,62.52050018310547,97.15249633789062,335.7799987792969,51.935001373291016,15.202667236328125,4.3767499923706055,116.22000122070312,183.69000244140625,282.07000732421875,178.74000549316406,311.2699890136719,44.630001068115234,58.5,49.29999923706055,72.16000366210938,144.64999389648438,75.22000122070312,144.70362854003906,54.16999816894531,51.59000015258789,34.02000045776367,173.61000061035156,128.16000366210938,369.4599914550781,222.13999938964844,1966.8499755859375,57.08000183105469,25.79305076599121,120.58000183105469,174.94000244140625,169.27000427246094,214.4499969482422,91.16999816894531,132.9199981689453,94.86000061035156,118.5,199.6199951171875,244.35000610351562,237.27000427246094,135.61000061035156,309.17999267578125,66.91999816894531,130.58251953125,84.30999755859375,47.779998779296875,37.279998779296875,167.3000030517578
2019-07-29,141.02999877929688,195.94000244140625,61.97050094604492,95.62249755859375,332.70001220703125,52.41999816894531,15.718000411987305,4.370500087738037,115.8499984741211,183.2100067138672,281.44000244140625,177.02000427246094,307.2200012207031,44.22999954223633,58.060001373291016,48.279998779296875,71.76000213623047,146.38999938964844,74.97000122070312,144.24473571777344,53.9900016784668,52.5099983215332,33.47999954223633,174.52999877929688,129.97000122070312,369.6199951171875,220.32000732421875,1919.550048828125,57.369998931884766,25.936555862426758,118.75,172.60000610351562,167.91000366210938,215.32000732421875,91.33999633789062,134.4600067138672,95.2699966430664,117.95999908447266,200.6199951171875,243.3000030517578,232.3699951171875,136.7100067138672,306.0400085449219,67.87000274658203,130.6116485595703,84.02999877929688,47.67333221435547,37.709999084472656,172.24000549316406
2019-07-30,140.35000610351562,197.0399932861328,61.25699996948242,94.92649841308594,325.92999267578125,52.19499969482422,16.150667190551758,4.386250019073486,115.58999633789062,181.52999877929688,278.1600036621094,174.10000610351562,303.6400146484375,44.08000183105469,57.4900016784668,48.54999923706055,71.70999908447266,144.92999267578125,74.80999755859375,143.18356323242188,53.720001220703125,51.70000076293945,33.869998931884766,173.91000366210938,128.5399932861328,365.989990234375,221.39999389648438,1916.5899658203125,56.630001068115234,25.815710067749023,119.80999755859375,172.38999938964844,165.0,213.61000061035156,87.80000305175781,132.9499969482422,95.37000274658203,118.01000213623047,205.67999267578125,241.92999267578125,227.8800048828125,133.69000244140625,311.1300048828125,67.08999633789062,132.68931579589844,84.79000091552734,47.313331604003906,37.72999954223633,172.25
2019-07-31,136.27000427246094,194.22999572753906,60.83399963378906,93.33899688720703,322.989990234375,53.2599983215332,16.107332229614258,4.2179999351501465,116.0,178.0,272.2699890136719,173.11000061035156,298.8599853515625,43.16999816894531,56.29999923706055,48.40999984741211,71.16000366210938,143.00999450683594,73.16000366210938,141.72084045410156,52.630001068115234,50.54999923706055,30.450000762939453,172.4600067138672,125.01000213623047,362.1700134277344,220.1300048828125,1886.6099853515625,55.27000045776367,25.7175235748291,119.47000122070312,170.52999877929688,166.52000427246094,209.77999877929688,87.76000213623047,131.6699981689453,94.61000061035156,117.0,201.72999572753906,244.9499969482422,227.24000549316406,133.25,304.760009765625,65.5199966430664,131.1941680908203,85.25,46.7599983215332,36.52000045776367,169.9199981689453
2019-08-01,138.05999755859375,192.72999572753906,60.45050048828125,92.76599884033203,319.5,52.10749816894531,15.59000015258789,4.123000144958496,112.94000244140625,179.1699981689453,274.1600036621094,165.64999389648438,298.44000244140625,42.880001068115234,55.880001068115234,47.060001373291016,68.3499984741211,141.85000610351562,71.19999694824219,143.70936584472656,52.029998779296875,49.5,29.860000610351562,169.5500030517578,123.44999694824219,363.0899963378906,211.60000610351562,1879.8599853515625,55.2599983215332,25.77039337158203,116.9800033569336,163.30999755859375,164.3000030517578,212.9199981689453,86.30000305175781,126.79000091552734,93.47000122070312,116.25,200.92999267578125,257.2200012207031,225.3300018310547,131.2100067138672,309.42999267578125,65.47000122070312,133.49514770507812,84.33999633789062,45.426666259765625,37.150001525878906,167.55999755859375
2019-08-02,136.89999389648438,189.02000427246094,59.699501037597656,91.16200256347656,318.8299865722656,51.005001068115234,15.62266731262207,4.029749870300293,112.93000030517578,177.4199981689453,269.45001220703125,161.0,293.7099914550781,42.650001525878906,55.84000015258789,47.439998626708984,67.61000061035156,141.7100067138672,71.1500015258789,140.77438354492188,52.33000183105469,48.68000030517578,29.440000534057617,168.00999450683594,121.81999969482422,361.9100036621094,209.3699951171875,1846.0799560546875,55.59000015258789,25.808156967163086,117.19999694824219,163.72999572753906,164.27000427246094,211.6199951171875,86.0,124.54000091552734,93.02999877929688,116.7300033569336,199.99000549316406,253.9499969482422,220.17999267578125,130.16000366210938,305.239990234375,64.94999694824219,134.0485382080078,82.06999969482422,44.813331604003906,36.90999984741211,164.5800018310547
2019-08-05,132.2100067138672,181.72999572753906,57.61600112915039,88.25650024414062,307.6300048828125,48.334999084472656,15.221332550048828,3.7697501182556152,109.56999969482422,168.86000061035156,256.8399963378906,153.6699981689453,280.3599853515625,41.61000061035156,53.7599983215332,46.13999938964844,65.18000030517578,138.3000030517578,68.80000305175781,134.56979370117188,51.650001525878906,46.970001220703125,27.989999771118164,162.00999450683594,116.93000030517578,358.42999267578125,201.67999267578125,1788.5999755859375,55.220001220703125,25.2945613861084,114.8499984741211,157.25999450683594,159.75,205.66000366210938,83.93000030517578,121.6500015258789,91.2699966430664,113.7699966430664,194.35000610351562,244.17999267578125,209.24000549316406,125.94999694824219,299.57000732421875,63.36000061035156,130.99029541015625,75.77999877929688,42.95333480834961,37.41999816894531,159.0
2019-08-06,134.69000244140625,184.50999450683594,58.497501373291016,89.3915023803711,310.1000061035156,49.25,15.383333206176758,3.8087499141693115,110.43000030517578,172.47999572753906,264.67999267578125,157.42999267578125,286.2099914550781,42.06999969482422,53.959999084472656,46.93000030517578,66.25,141.8699951171875,68.16999816894531,134.54110717773438,52.27000045776367,46.959999084472656,28.860000610351562,164.52000427246094,119.0,366.7799987792969,206.00999450683594,1786.52001953125,55.04999923706055,25.649547576904297,115.0,161.19000244140625,163.38999938964844,211.2100067138672,85.88999938964844,122.08000183105469,91.75,116.0999984741211,196.72999572753906,245.82000732421875,214.33999633789062,130.9199981689453,300.260009765625,63.97999954223633,131.21359252929688,76.83999633789062,43.686668395996094,37.9900016784668,163.72000122070312
2019-08-07,135.27999877929688,185.14999389648438,58.699501037597656,89.66999816894531,304.2900085449219,49.7599983215332,15.561332702636719,3.847249984741211,108.02999877929688,175.32000732421875,269.30999755859375,159.1699981689453,289.0199890136719,41.72999954223633,53.34000015258789,45.810001373291016,65.13999938964844,134.86000061035156,69.4000015258789,132.9923553466797,53.18000030517578,46.72999954223633,29.190000534057617,163.38999938964844,120.72000122070312,369.29998779296875,205.74000549316406,1821.56005859375,55.09000015258789,25.72507667541504,115.41000366210938,160.66000366210938,164.47000122070312,211.74000549316406,82.87000274658203,120.77999877929688,92.41999816894531,116.8499984741211,200.19000244140625,248.67999267578125,217.17999267578125,134.47999572753906,302.2200012207031,63.880001068115234,132.23301696777344,75.80999755859375,43.50666809082031,39.349998474121094,166.47999572753906
